1811, 519
1433, 114
1459, 471
1868, 169
1586, 501
1847, 429
1761, 72
1571, 271
1495, 452
1457, 460
1598, 339
1907, 339
1987, 283
2087, 246
2017, 69
1940, 67
2864, 203
2936, 278
2917, 135
2964, 171
2874, 600
2905, 144
2935, 282
2936, 73
2964, 498
1543, 714
1478, 1100
1865, 1122
1444, 1057
1841, 885
1953, 1117
2645, 1030
2557, 687
2764, 1244
2703, 1105
2949, 718
2991, 948
258, 1289
1729, 1878
1509, 1756
1681, 1847
1823, 1302
1584, 1855
1793, 1907
1578, 1647
1831, 1847
1846, 1349
1824, 1905
1798, 1908
1796, 1497
1476, 1690
1619, 1878
1961, 1801
2577, 1295
2884, 1909
2867, 1685
2746, 1730
2527, 1696
2825, 1686
2879, 1685
1530, 1938
1484, 2040
1599, 2233
1713, 1934
1772, 2504
1744, 2044
1777, 2263
1608, 2302
1573, 2479
2991, 1935
2885, 2051
2638, 2119
2611, 1940
2663, 2245
2742, 1987
2760, 1998
2858, 1998
1691, 3009
1724, 3049
1733, 2574
1592, 3057
1628, 3173
1565, 2649
1844, 2972
1535, 2982
1713, 2934
1788, 2648
1843, 2971
1571, 2603
1966, 2793
1926, 2859
2011, 3145
1953, 2826
2003, 2775
2742, 3173
2697, 3105
1255, 3263
1128, 3281
1268, 3314
1090, 3384
938, 3254
1882, 3698
1773, 3688
1694, 3238
1626, 3462
1551, 3464
1887, 3733
1710, 3361
1783, 3675
1700, 3641
1887, 3726
1498, 3829
1972, 3831
2817, 3289
1090, 3385
1229, 3838
1706, 3363
1626, 3462
1882, 3698
1551, 3464
1779, 3680
1887, 3733
1783, 3675
1580, 3898
1722, 3929
1722, 3929
1700, 3641
1702, 3366
1887, 3726
1973, 3833
